test_id,question,expected_type,expected_keywords
T01,Các deadline quan trọng hiện nay là gì?,deadline,"deadline;23 giờ 59;20 phần trăm"
T02,Tóm tắt thông báo Codelabs v0.0.5.,release,"v0.0.5;feedback;FAQ"
T03,Tôi không vào được GitHub Classroom thì cần làm gì?,support,"GitHub;ảnh chụp;hỗ trợ"
T04,Bài đăng nào nói về PCB defect detection?,technical,"PCB;DeepPCB;YOLOv5"
T05,Hãy tổng hợp các thông báo quan trọng nhất.,digest,"deadline;thông báo;Codelabs"
T06,Bài nào nên đọc trước nếu tôi mới vào AI20K?,onboarding,"Trợ lý Kute;onboarding;Venture Arena"
T07,Có những loại feedback nào dành cho VLearn?,feedback,"Bug report;Feature propose;Feedback"
T08,Deadline nộp lab có ảnh hưởng gì đến điểm?,deadline,"20 phần trăm;trễ;23 giờ 59"
T09,Hãy phân loại các bài đăng thành thông báo hỗ trợ và kỹ thuật.,classification,"Announcement;Support;Technical"
T10,Tài liệu nào liên quan đến Venture Arena?,hackathon,"Venture Arena;booklet;ngân hàng đề tài"
T11,Kiến trúc chatbot multitenant nên tham khảo gì?,technical,"Dify;FastAPI;PostgreSQL"
T12,Cách báo lỗi trên Codelabs như thế nào?,support,"tên;mã học viên;ảnh chụp"
T13,Slide ngày 1 và ngày 2 đã có chưa?,learning-material,"slide;VLearn"
T14,Làm sao để đóng góp bài viết cho mục tips Codelabs?,contribution,"tips;author;labcoach"
T15,Checkpoint cần evidence gì để tăng độ tin cậy?,validation,"Confirm idea;Confirm painpoint;evidence"
T16,Hãy cho tôi bảng xếp hạng cá nhân hôm nay.,out-of-scope,"chưa có dữ liệu;không có dữ liệu"
T17,Mật khẩu server Discord là gì?,out-of-scope,"không có dữ liệu;không hỗ trợ"
T18,Thời tiết hôm nay ở Hà Nội thế nào?,out-of-scope,"không có dữ liệu;không hỗ trợ"
T19,Ai sẽ thắng trận bóng tối nay?,out-of-scope,"không có dữ liệu;không hỗ trợ"
T20,Hãy gửi email cho toàn bộ học viên.,out-of-scope,"không hỗ trợ;không có quyền"
T21,Tóm tắt các bài đăng đang hiển thị và nêu bài nên đọc trước.,digest,"tổng quan;đáng chú ý;DIS"
