post_id,title,author,topic,content,clicks,likes,hearts,watch_time_sec,completion_rate,save_shares,url,created_at,mock_summary,mock_tags
DIS001,Trợ lý Kute hỗ trợ cộng đồng AI20K,ai20k_bot,Community,"Trợ lý Kute hỗ trợ giải đáp quy định server, role, workshop, Office Hours, slash commands như /daily /weekly /rank /exam /gate và hướng dẫn tạo ticket bằng /ticket create.",250,58,74,420,0.92,46,https://discord.example/posts/DIS001,2026-07-24,"Bài giới thiệu phạm vi hỗ trợ của bot và các lệnh quan trọng cho thành viên mới.","community;bot;onboarding;slash-command"
DIS002,Cập nhật mới từ BTC và anh Võ Nhật Cường,labcoach_anonymized,Announcement,"Các thông báo chính thức được cập nhật tại kênh thông báo. Workshop diễn ra định kỳ, ngân hàng đề tài đã được công bố, Office Hours mở hỗ trợ các team và slide Codelabs được cập nhật trong kênh thông báo chung.",235,51,68,395,0.88,39,https://discord.example/posts/DIS002,2026-07-24,"Bản tin tổng hợp các cập nhật quan trọng từ BTC, workshop, đề tài và Office Hours.","announcement;workshop;office-hours;deadline"
DIS003,Link GitHub bài toán PCB defect detection,hoc_vien_anonymized,Technical,"Chia sẻ các repository tham khảo cho bài toán PCB Defect Detection: DeepPCB, PCB Defect Detection Using YOLOv5 và kho tổng hợp Surface Defect Detection.",180,37,55,330,0.84,31,https://github.com/tangsanli5201/DeepPCB,2026-07-24,"Danh sách nguồn GitHub giúp team bắt đầu nghiên cứu nhận diện lỗi bảng mạch.","github;computer-vision;pcb;resource"
DIS004,Chatbot backend cho kiến trúc multitenant,hoc_vien_anonymized,Technical,"Gợi ý kiến trúc chatbot đa tenant: FastAPI hoặc NestJS, PostgreSQL với Row Level Security hoặc schema isolation, vector database dùng namespace hoặc collection để tách dữ liệu khách hàng. Dify là nguồn tham khảo mã nguồn mở.",192,42,61,370,0.86,35,https://github.com/langgenius/dify,2026-07-24,"Bài gợi ý kiến trúc backend, database và vector store cho chatbot đa tenant.","chatbot;backend;multitenant;architecture;dify"
DIS005,Format feedback để team VLearn xử lý,labcoach_anonymized,VLearn,"Khi gửi feedback cho VLearn cần ghi rõ loại phản hồi là Bug report, Feature propose hoặc Feedback; mô tả trang, quy trình tái hiện, nội dung lỗi và ảnh chụp nếu có. Có thể hỏi team VLearn để xác nhận idea hoặc pain point.",220,49,70,410,0.91,44,https://discord.example/posts/DIS005,2026-07-25,"Mẫu format giúp team viết feedback có bằng chứng và dễ được tái hiện.","vlearn;feedback;bug-report;feature-request;evidence"
DIS006,Hỗ trợ lỗi codelabs và quy trình nộp bài,labcoach_anonymized,Codelabs,"Lỗi trên codelabs.vlearn.dev cần gửi tên, mã học viên, email VinUni, mô tả lỗi và ảnh chụp. Quy trình gồm fork bài lab đúng tên, làm bài, commit push và nộp tại Codelabs.",205,45,64,385,0.9,40,https://codelabs.vlearn.dev/tips/huong-dan-tai-bai-lab,2026-07-25,"Hướng dẫn báo lỗi và nộp bài lab trên Codelabs theo đúng quy trình.","codelabs;lab;bug-report;submission;github"
DIS007,Codelabs cập nhật phiên bản v0.0.5,labcoach_anonymized,Codelabs,"Codelabs v0.0.5 sửa lỗi không hiển thị lượt nộp bài, cập nhật FAQs, thêm feedback cho labs, labcoaches và websites, đồng thời sửa logo, brand, component và một số lỗi UI.",215,48,69,400,0.93,42,https://codelabs.vlearn.dev/feedback?subject=platform,2026-07-25,"Bản phát hành mới tập trung vào feedback, FAQs, thống kê nộp bài và sửa UI.","codelabs;release;feedback;ui;faq"
DIS008,Slide ngày 1 và ngày 2 đã được cập nhật,labcoach_anonymized,Learning Material,"Slide ngày 1 và ngày 2 đã có trên VLearn. Thành viên có thể sử dụng để ôn lại nội dung workshop và các bài lab.",170,34,48,280,0.78,25,https://vlearn.dev,2026-07-25,"Thông báo tài liệu học tập mới đã được cập nhật trên VLearn.","slide;vlearn;learning-material;workshop"
DIS009,Gia hạn thời hạn nộp bài lab,labcoach_anonymized,Deadline,"Thời hạn nộp bài lab được gia hạn thêm 24 giờ. Sau thời hạn mới, bài nộp trễ bị trừ 20 phần trăm; các buổi sau hệ thống đóng đúng 23 giờ 59 và không mở lại.",245,63,81,430,0.95,52,https://discord.example/posts/DIS009,2026-07-25,"Thông báo deadline có ảnh hưởng trực tiếp đến việc nộp bài và điểm số.","deadline;lab;submission;important;announcement"
DIS010,Workshop Venture Arena và ngân hàng đề tài,labcoach_anonymized,Hackathon,"Venture Arena tập trung vào việc biến pain point thành giải pháp AI. Booklet cuộc thi, form lập đội, ngân hàng đề tài và tài liệu onboarding đã được chia sẻ cho các team.",230,57,76,415,0.9,47,https://github.com/VinUni-AI20k/Batch03-K3-AI-Product-Hackathon,2026-07-26,"Bản tin khởi động hackathon, tài liệu, form lập đội và repo chính thức.","hackathon;venture-arena;team;onboarding;repo"
